surface,placement_type,image_url,scrape_timestamp,tz
careem grocery,grocery modules,https://careem-launcher-media.imgix.net/assets/com.careem.quik/transparent_(2)_xxxhdpi.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-launcher-media.imgix.net/assets/com.careem.quik/Feature_Header_image_template_(21)_xxxhdpi.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/70d9bc75c40bed6c2ff8b5cea16766e6.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/09572f55cdcf8f09587e0fe4a3235926.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-mot.imgix.net/catalogs/merchants-info/07022023224507-2b7db43f-e5fb-4464-802a-ce6524563345.jpg,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/ELMB2B46638-1003135.jpg,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/ad08cda49b204a7b88fec25b30fa0668.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/0d84cb1579b5ea28805324ea653ab16e.jpg,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/a3bb06c25fba4c6cf4c02c0a03705687.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/13e704b5f62ed9335af2070afe7eee25.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/b12eea71882f2515b8ed9a696eb0bff7.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/85cb3e3fc2d7bd4d7de9182040ccab15.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/12b0f74ce8221fbe805a6409c6716c79.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/dce263f40c8141e1a7b108616c22c692.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/b79a2ece8520a14d19a66451b4abfedb.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/3d4fc2c967e0d52e51716a338e59f908.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/5f198558b2751de1427d16b722191356.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/f54cc3ae70edeb4c08bc62b7c36af9bb.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/8eef19b1e674cdd74c74118b19f8562c.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/1ea61fe8dfdd8212e911b7e03653eb5e.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/db5abb253d443a411ce80fe4d25639ef.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/6f2c3632f308799fc287e405248d1865.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/b3cd5936158edc0979ad8d51be98cbf0.jpg,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/d99de5a4c320def9c80a72aa2845457b.jpg,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-mot.imgix.net/catalogs/merchants-info/17022023211822-d47308cd-677a-4745-a9db-8828cb3c27b4.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/ae110342f7debcf7977d2f82dc01f4af.jpg,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/5cc56da1582387d3b6bb38f8ff135e98.jpg,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/b3a558dff372913b22149efb19ab8b0b.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/f33b6adf64054e36a34f564e55580d12.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/6e307974d902894f3ffb94f3f7a5d78f.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/4148f335793189a57afe2337785f7e22.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/08d69f2b3b90ebbac73b348722d22f74.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/128ae2f275ec52f969f049d6b6a444ee.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/8479097eb4fa972731e79a1eab76d62e.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/f9db47932bed43000a82c0dc41a9bcc2.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/1748a63fc8a6c1299f85a82b51d02818.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/f9ae29a6da0b359466f02907379f083f.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/449331b3dc6dbdf6f7e95d6b180e9c63.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/6eaecbe86caf6dcd1f2c8ccffafe0af9.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/cb7a9064c3d5560f78a045c862987e79.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/6b0972c947fe39730cc213c5d4eecdcd.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/4f31d6433c12907f40a2cfa40ca40919.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/0a4da7c094ad2a60ad2590754ab72c76.jpg,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/f51be5e6349e30fb7e9d20cc1ffb1315.jpg,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/2916b8b85498ebf51dbbed822028e881.png,2025-08-23 20:23:54,Asia/Dubai
careem grocery,grocery modules,https://careem-catalog-media.imgix.net/catalogs/42cc8ddac6fad9eadda00fe5427f8980.png,2025-08-23 20:23:54,Asia/Dubai
